classement,artiste,artiste_2,artiste_3,artiste_4,titre,editeur,annee,semaine,producer_1,producer_2,writer_1,writer_2,release_date,sample_type,sample_from
1,NINHO,,,,JEFE,REC. 118 / MAL LUNE MUSIC,2022,1,PHILY ASAP,Mi8,Ninho,,2021-12-03,,
2,NINHO,,,,VVS,REC. 118 / MAL LUNE MUSIC,2022,1,Young KO,,Ninho,,2021-12-03,,
3,NAPS,,,,LA KIFFANCE,BELIEVE / OK MANY INDUSTRIE ET 13ÈME ART MUSIC,2022,1,Zeg P,,Naps,,2021-02-26,sample,OVER NOW - NickiMusic
4,CKAY,,,,LOVE NWANTITI,WARNER / WM SOUTH AFRICA,2022,1,CKay,,CKay,,2019-08-29,,
5,FARRUKO,,,,PEPAS,SONY MUSIC ENTERTAINMENT / RCA,2022,1,Sharo Towers,Ghetto,IAmChino,Juan Manuel Gomez,2021-06-24,sample,Dos Tres Trucos - Paola Suárez
6,NAPS,,,,BEST LIFE,BELIEVE / OK MANY INDUSTRIE/13ÈME ART MUSIC,2022,1,CDR (FRA),,GIMS,Naps,2021-09-29,interpolation,PS5 - Drismer & PCN
7,ORELSAN,,,,JOUR MEILLEUR,3EME BUREAU,2022,1,Skread,,OrelSan,,2021-11-19,,
8,NINHO,,,,VÉRITÉ,REC. 118 / MAL LUNE MUSIC,2022,1,Daimo Beats,,Ninho,,2021-12-03,,
9,ELTON JOHN,DUA LIPA,,,COLD HEART,VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC,2022,1,GD8,,KayleeHazel,Elton John,2024-05-24,,
10,ED SHEERAN,,,,SHIVERS,WARNER / ATLANTIC RECORDS UK,2022,1,Ed Sheeran,Fred again..,Ed Sheeran,Kal Lavelle,2021-09-10,sample,A.T.E - Yung Nobre
11,THE KID LAROI,,,,STAY,SONY MUSIC ENTERTAINMENT / COLUMBIA,2022,1,Cashmere Cat,Blake Slatkin,Finatik,Zac,2021-07-09,sample,​sirens r kinda scary - ‍xaev
12,ANGÈLE,,,,BRUXELLES JE T'AIME,ROMANCE MUSIQUE / ANGELE VL RECORDS,2022,1,Angèle,Tristan Salvati,Angèle,,2021-10-21,,
13,ANGÈLE,,,,DÉMONS,ROMANCE MUSIQUE / ANGELE VL RECORDS,2022,1,Angèle,Tristan Salvati,Damso,Angèle,2021-12-03,,
14,NINHO,,,,AÏCHA,REC. 118 / MAL LUNE MUSIC,2022,1,Hoodstar,Young KO,Ninho,,2021-12-03,,
15,GAYLE,,,,ABCDEFU,WARNER / ATLANTIC/ARTHOUSE RECORDS,2022,1,Pete Nappi,,GAYLE,Sara Davis,2021-08-13,sample,Abcde forgot the rest - Lil Woodryc
16,OBOY,,,,TDB,BELIEVE / SYNDICATE RECORDS,2022,1,Le Side,,OBOY,,2021-07-02,,
17,ED SHEERAN,,,,BAD HABITS,WEA / ATLANTIC RECORDS,2022,1,Ed Sheeran,Fred again..,Ed Sheeran,Fred again..,2021-06-25,sample,Tino x Fumez The Engineer - Plugged In - Fumez The Engineer
18,TREI DEGETE,SQUEEZIE,KRONOMUZIK,,TIME TIME,BELIEVE / BALAI STEAK // PLAY TWO,2022,1,Myd,KronoMuzik,Squeezie,Myd,2021-11-11,,
19,NINHO,,,,SKY PRIORITY,REC. 118 / MAL LUNE MUSIC,2022,1,BBP,,Ninho,,2021-12-03,,
20,ADELE,,,,EASY ON ME,SONY MUSIC ENTERTAINMENT / COLUMBIA,2022,1,Greg Kurstin,,Adele,Greg Kurstin,2021-10-15,sample,Te Amo Baby - Danieze Santiago
21,NINHO,,,,ARME DE POING,REC. 118 / MAL LUNE MUSIC,2022,1,SNK,Young KO,Ninho,,2021-12-03,,
